iter	Passed	Remaining
1224	37732	73155
1225	37766	73130
1226	37786	73078
1227	37821	73055
1228	37852	73024
1229	37881	72990
1230	37921	72977
1231	37957	72957
1232	37980	72911
1233	38014	72887
1234	38038	72843
1235	38069	72812
1236	38100	72781
1237	38128	72745
1238	38168	72732
1239	38201	72706
1240	38224	72661
1241	38260	72639
1242	38283	72593
1243	38315	72565
1244	38351	72543
1245	38373	72496
1246	38412	72482
1247	38448	72461
1248	38473	72418
1249	38507	72394
1250	38537	72362
1251	38566	72326
1252	38600	72302
1253	38628	72266
1254	38663	72243
1255	38696	72217
1256	38719	72171
1257	38753	72147
1258	38783	72114
1259	38811	72079
1260	38846	72055
1261	38874	72019
1262	38912	72002
1263	38945	71974
1264	38970	71933
1265	38994	71889
1266	39015	71841
1267	39040	71800
1268	39062	71753
1269	39095	71726
1270	39124	71692
1271	39150	71652
1272	39184	71627
1273	39206	71580
1274	39240	71556
1275	39269	71521
1276	39296	71484
1277	39329	71456
1278	39357	71421
1279	39391	71396
1280	39425	71372
1281	39450	71330
1282	39485	71307
1283	39514	71274
1284	39547	71247
1285	39583	71225
1286	39617	71200
1287	39643	71160
1288	39679	71139
1289	39706	71101
1290	39742	71080
1291	39778	71060
1292	39811	71033
1293	39839	70996
1294	39875	70974
1295	39906	70945
1296	39935	70911
1297	39977	70899
1298	40009	70870
1299	40038	70837
1300	40072	70812
1301	40101	70779
1302	40133	70749
1303	40173	70735
1304	40216	70725
1305	40245	70692
1306	40274	70656
1307	40310	70636
1308	40343	70609
1309	40377	70583
1310	40409	70555
1311	40448	70537
1312	40476	70502
1313	40510	70477
1314	40535	70436
1315	40567	70406
1316	40604	70386
1317	40625	70340
1318	40658	70313
1319	40699	70298
1320	40720	70251
1321	40753	70224
1322	40780	70186
1323	40813	70159
1324	40845	70131
1325	40866	70082
1326	40902	70060
1327	40933	70031
1328	40959	69992
1329	40994	69967
1330	41021	69930
1331	41054	69903
1332	41088	69878
1333	41112	69835
1334	41147	69812
1335	41182	69788
1336	41206	69745
1337	41239	69718
1338	41261	69673
1339	41295	69646
1340	41330	69624
1341	41355	69582
1342	41390	69559
1343	41418	69523
1344	41442	69482
1345	41469	69444
1346	41496	69407
1347	41533	69387
1348	41561	69351
1349	41597	69328
1350	41635	69310
1351	41665	69278
1352	41694	69244
1353	41725	69214
1354	41751	69174
1355	41782	69144
1356	41808	69105
1357	41838	69073
1358	41871	69045
1359	41896	69006
1360	41931	68981
1361	41958	68945
1362	41985	68907
1363	42017	68879
1364	42041	68836
1365	42075	68811
1366	42107	68782
1367	42138	68752
1368	42172	68726
1369	42204	68697
1370	42231	68661
1371	42266	68636
1372	42287	68590
1373	42319	68560
1374	42351	68532
1375	42379	68497
1376	42414	68472
1377	42442	68437
1378	42472	68406
1379	42507	68382
1380	42532	68340
1381	42564	68312
1382	42589	68273
1383	42618	68238
1384	42654	68215
1385	42678	68174
1386	42717	68156
1387	42751	68131
1388	42778	68093
1389	42808	68063
1390	42843	68037
1391	42869	67999
1392	42902	67972
1393	42930	67937
1394	42963	67909
1395	42993	67877
1396	43018	67837
1397	43055	67816
1398	43090	67792
1399	43124	67767
1400	43154	67734
1401	43189	67710
1402	43221	67681
1403	43262	67667
1404	43300	67647
1405	43333	67619
1406	43361	67585
1407	43399	67564
1408	43441	67551
1409	43463	67507
1410	43493	67475
1411	43528	67450
1412	43564	67427
1413	43598	67401
1414	43633	67378
1415	43661	67341
1416	43689	67306
1417	43721	67278
1418	43751	67245
1419	43784	67217
1420	43820	67196
1421	43846	67157
1422	43880	67131
1423	43905	67091
1424	43934	67058
1425	43968	67032
1426	43994	66992
1427	44028	66967
1428	44059	66936
1429	44088	66903
1430	44124	66880
1431	44147	66838
1432	44181	66812
1433	44213	66782
1434	44240	66746
1435	44278	66726
1436	44307	66693
1437	44332	66653
1438	44367	66627
1439	44387	66581
1440	44431	66569
1441	44468	66548
1442	44507	66530
1443	44543	66506
1444	44566	66464
1445	44594	66429
1446	44632	66409
1447	44666	66383
1448	44699	66354
1449	44729	66323
1450	44771	66309
1451	44812	66292
1452	44852	66275
1453	44882	66243
1454	44915	66214
1455	44949	66188
1456	44975	66151
1457	45010	66126
1458	45041	66096
1459	45073	66066
